"Step","ldx-reversi-baseline-full-obs - eval/vs_baseline/player1/win_rate","ldx-reversi-baseline-full-obs - eval/vs_baseline/player1/win_rate__MIN","ldx-reversi-baseline-full-obs - eval/vs_baseline/player1/win_rate__MAX","pgx-reversi-baseline-full - eval/vs_baseline/player1/win_rate","pgx-reversi-baseline-full - eval/vs_baseline/player1/win_rate__MIN","pgx-reversi-baseline-full - eval/vs_baseline/player1/win_rate__MAX"
"0","0.01171875","0.01171875","0.01171875","0.0166015625","0.0166015625","0.0166015625"
"5","0.0283203125","0.0283203125","0.0283203125","0.0390625","0.0390625","0.0390625"
"10","0.0751953125","0.0751953125","0.0751953125","0.05078125","0.05078125","0.05078125"
"15","0.12890625","0.12890625","0.12890625","0.0947265625","0.0947265625","0.0947265625"
"20","0.126953125","0.126953125","0.126953125","0.1376953125","0.1376953125","0.1376953125"
"25","0.24609375","0.24609375","0.24609375","0.1787109375","0.1787109375","0.1787109375"
"30","0.2509765625","0.2509765625","0.2509765625","0.224609375","0.224609375","0.224609375"
"35","0.30078125","0.30078125","0.30078125","0.318359375","0.318359375","0.318359375"
"40","0.287109375","0.287109375","0.287109375","0.34765625","0.34765625","0.34765625"
"45","0.328125","0.328125","0.328125","0.3837890625","0.3837890625","0.3837890625"
"50","0.3037109375","0.3037109375","0.3037109375","0.3701171875","0.3701171875","0.3701171875"
"55","0.3017578125","0.3017578125","0.3017578125","0.3984375","0.3984375","0.3984375"
"60","0.3115234375","0.3115234375","0.3115234375","0.376953125","0.376953125","0.376953125"
"65","0.251953125","0.251953125","0.251953125","0.3798828125","0.3798828125","0.3798828125"
"70","0.3544921875","0.3544921875","0.3544921875","0.4111328125","0.4111328125","0.4111328125"
"75","0.373046875","0.373046875","0.373046875","0.3779296875","0.3779296875","0.3779296875"
"80","0.4296875","0.4296875","0.4296875","0.3876953125","0.3876953125","0.3876953125"
"85","0.41015625","0.41015625","0.41015625","0.45703125","0.45703125","0.45703125"
"90","0.4111328125","0.4111328125","0.4111328125","0.41796875","0.41796875","0.41796875"
"95","0.48828125","0.48828125","0.48828125","0.3974609375","0.3974609375","0.3974609375"
"100","0.478515625","0.478515625","0.478515625","0.404296875","0.404296875","0.404296875"
"105","0.5302734375","0.5302734375","0.5302734375","0.3896484375","0.3896484375","0.3896484375"
"110","0.501953125","0.501953125","0.501953125","0.439453125","0.439453125","0.439453125"
"115","0.48046875","0.48046875","0.48046875","0.423828125","0.423828125","0.423828125"
"120","0.5302734375","0.5302734375","0.5302734375","0.3984375","0.3984375","0.3984375"
"125","0.486328125","0.486328125","0.486328125","0.4150390625","0.4150390625","0.4150390625"
"130","0.568359375","0.568359375","0.568359375","0.4755859375","0.4755859375","0.4755859375"
"135","0.6064453125","0.6064453125","0.6064453125","0.5029296875","0.5029296875","0.5029296875"
"140","0.6279296875","0.6279296875","0.6279296875","0.5009765625","0.5009765625","0.5009765625"
"145","0.607421875","0.607421875","0.607421875","0.59765625","0.59765625","0.59765625"
"150","0.6494140625","0.6494140625","0.6494140625","0.55859375","0.55859375","0.55859375"
"155","0.58984375","0.58984375","0.58984375","0.5712890625","0.5712890625","0.5712890625"
"160","0.623046875","0.623046875","0.623046875","0.5517578125","0.5517578125","0.5517578125"
"165","0.5244140625","0.5244140625","0.5244140625","0.552734375","0.552734375","0.552734375"
"170","0.4833984375","0.4833984375","0.4833984375","0.5751953125","0.5751953125","0.5751953125"
"175","0.466796875","0.466796875","0.466796875","0.5732421875","0.5732421875","0.5732421875"
"180","0.5205078125","0.5205078125","0.5205078125","0.53515625","0.53515625","0.53515625"
"185","0.529296875","0.529296875","0.529296875","0.58203125","0.58203125","0.58203125"
"190","0.4892578125","0.4892578125","0.4892578125","0.5771484375","0.5771484375","0.5771484375"
"195","0.529296875","0.529296875","0.529296875","0.572265625","0.572265625","0.572265625"
"200","0.515625","0.515625","0.515625","0.6162109375","0.6162109375","0.6162109375"
"205","0.5712890625","0.5712890625","0.5712890625","0.5888671875","0.5888671875","0.5888671875"
"210","0.7060546875","0.7060546875","0.7060546875","0.5185546875","0.5185546875","0.5185546875"
"215","0.740234375","0.740234375","0.740234375","0.5537109375","0.5537109375","0.5537109375"
"220","","","","0.541015625","0.541015625","0.541015625"
"225","","","","0.5419921875","0.5419921875","0.5419921875"
"230","","","","0.5712890625","0.5712890625","0.5712890625"
"235","","","","0.5966796875","0.5966796875","0.5966796875"
"240","","","","0.5908203125","0.5908203125","0.5908203125"
"245","","","","0.599609375","0.599609375","0.599609375"
"250","","","","0.5556640625","0.5556640625","0.5556640625"
"255","","","","0.5400390625","0.5400390625","0.5400390625"
"260","","","","0.552734375","0.552734375","0.552734375"
"265","","","","0.6044921875","0.6044921875","0.6044921875"
"270","","","","0.6298828125","0.6298828125","0.6298828125"
"275","","","","0.6083984375","0.6083984375","0.6083984375"
"280","","","","0.6533203125","0.6533203125","0.6533203125"
"285","","","","0.65234375","0.65234375","0.65234375"
"290","","","","0.58203125","0.58203125","0.58203125"
"295","","","","0.5869140625","0.5869140625","0.5869140625"
"300","","","","0.607421875","0.607421875","0.607421875"
"305","","","","0.6142578125","0.6142578125","0.6142578125"
"310","","","","0.671875","0.671875","0.671875"
"315","","","","0.697265625","0.697265625","0.697265625"
"320","","","","0.6435546875","0.6435546875","0.6435546875"
"325","","","","0.712890625","0.712890625","0.712890625"
"330","","","","0.7197265625","0.7197265625","0.7197265625"
"335","","","","0.6376953125","0.6376953125","0.6376953125"
"340","","","","0.658203125","0.658203125","0.658203125"
"345","","","","0.697265625","0.697265625","0.697265625"
"350","","","","0.6826171875","0.6826171875","0.6826171875"
"355","","","","0.7041015625","0.7041015625","0.7041015625"
"360","","","","0.677734375","0.677734375","0.677734375"
"365","","","","0.6845703125","0.6845703125","0.6845703125"
"370","","","","0.65625","0.65625","0.65625"
"375","","","","0.6201171875","0.6201171875","0.6201171875"
"380","","","","0.654296875","0.654296875","0.654296875"
"385","","","","0.65234375","0.65234375","0.65234375"
"390","","","","0.6787109375","0.6787109375","0.6787109375"
"395","","","","0.7177734375","0.7177734375","0.7177734375"
"400","","","","0.6875","0.6875","0.6875"
"405","","","","0.6181640625","0.6181640625","0.6181640625"
"410","","","","0.7060546875","0.7060546875","0.7060546875"
"415","","","","0.7197265625","0.7197265625","0.7197265625"
"420","","","","0.7041015625","0.7041015625","0.7041015625"
"425","","","","0.7626953125","0.7626953125","0.7626953125"
"430","","","","0.7080078125","0.7080078125","0.7080078125"
"435","","","","0.73828125","0.73828125","0.73828125"
"440","","","","0.681640625","0.681640625","0.681640625"
"445","","","","0.650390625","0.650390625","0.650390625"
"450","","","","0.654296875","0.654296875","0.654296875"
"455","","","","0.6708984375","0.6708984375","0.6708984375"
"460","","","","0.70703125","0.70703125","0.70703125"
"465","","","","0.7294921875","0.7294921875","0.7294921875"
"470","","","","0.7080078125","0.7080078125","0.7080078125"
"475","","","","0.724609375","0.724609375","0.724609375"
"480","","","","0.703125","0.703125","0.703125"
"485","","","","0.734375","0.734375","0.734375"
"490","","","","0.72265625","0.72265625","0.72265625"
