"Step","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/avg_R","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/avg_R__MIN","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/avg_R__MAX","pgx-reversi-baseline-full - eval/vs_baseline/player2/avg_R","pgx-reversi-baseline-full - eval/vs_baseline/player2/avg_R__MIN","pgx-reversi-baseline-full - eval/vs_baseline/player2/avg_R__MAX"
"0","-0.9716796875","-0.9716796875","-0.9716796875","-0.962890625","-0.962890625","-0.962890625"
"5","-0.9287109375","-0.9287109375","-0.9287109375","-0.896484375","-0.896484375","-0.896484375"
"10","-0.8359375","-0.8359375","-0.8359375","-0.8876953125","-0.8876953125","-0.8876953125"
"15","-0.7607421875","-0.7607421875","-0.7607421875","-0.763671875","-0.763671875","-0.763671875"
"20","-0.6962890625","-0.6962890625","-0.6962890625","-0.638671875","-0.638671875","-0.638671875"
"25","-0.5693359375","-0.5693359375","-0.5693359375","-0.6142578125","-0.6142578125","-0.6142578125"
"30","-0.556640625","-0.556640625","-0.556640625","-0.5341796875","-0.5341796875","-0.5341796875"
"35","-0.4580078125","-0.4580078125","-0.4580078125","-0.404296875","-0.404296875","-0.404296875"
"40","-0.4111328125","-0.4111328125","-0.4111328125","-0.2294921875","-0.2294921875","-0.2294921875"
"45","-0.416015625","-0.416015625","-0.416015625","-0.185546875","-0.185546875","-0.185546875"
"50","-0.4130859375","-0.4130859375","-0.4130859375","-0.1767578125","-0.1767578125","-0.1767578125"
"55","-0.3935546875","-0.3935546875","-0.3935546875","-0.21484375","-0.21484375","-0.21484375"
"60","-0.3984375","-0.3984375","-0.3984375","-0.2431640625","-0.2431640625","-0.2431640625"
"65","-0.4658203125","-0.4658203125","-0.4658203125","-0.1904296875","-0.1904296875","-0.1904296875"
"70","-0.2724609375","-0.2724609375","-0.2724609375","-0.12109375","-0.12109375","-0.12109375"
"75","-0.318359375","-0.318359375","-0.318359375","-0.2109375","-0.2109375","-0.2109375"
"80","-0.2724609375","-0.2724609375","-0.2724609375","-0.18359375","-0.18359375","-0.18359375"
"85","-0.1171875","-0.1171875","-0.1171875","-0.1435546875","-0.1435546875","-0.1435546875"
"90","-0.103515625","-0.103515625","-0.103515625","-0.171875","-0.171875","-0.171875"
"95","-0.08203125","-0.08203125","-0.08203125","-0.15625","-0.15625","-0.15625"
"100","-0.087890625","-0.087890625","-0.087890625","-0.1611328125","-0.1611328125","-0.1611328125"
"105","-0.123046875","-0.123046875","-0.123046875","-0.23046875","-0.23046875","-0.23046875"
"110","-0.08984375","-0.08984375","-0.08984375","-0.0673828125","-0.0673828125","-0.0673828125"
"115","-0.1103515625","-0.1103515625","-0.1103515625","-0.1171875","-0.1171875","-0.1171875"
"120","-0.1025390625","-0.1025390625","-0.1025390625","-0.2099609375","-0.2099609375","-0.2099609375"
"125","0.0478515625","0.0478515625","0.0478515625","-0.16796875","-0.16796875","-0.16796875"
"130","0.01953125","0.01953125","0.01953125","-0.001953125","-0.001953125","-0.001953125"
"135","0.08203125","0.08203125","0.08203125","0.04296875","0.04296875","0.04296875"
"140","0.1630859375","0.1630859375","0.1630859375","0.0458984375","0.0458984375","0.0458984375"
"145","0.1083984375","0.1083984375","0.1083984375","0.2060546875","0.2060546875","0.2060546875"
"150","0.1220703125","0.1220703125","0.1220703125","0.1240234375","0.1240234375","0.1240234375"
"155","0.2265625","0.2265625","0.2265625","0.1416015625","0.1416015625","0.1416015625"
"160","0.0576171875","0.0576171875","0.0576171875","0.1611328125","0.1611328125","0.1611328125"
"165","0.1494140625","0.1494140625","0.1494140625","0.1318359375","0.1318359375","0.1318359375"
"170","0.2431640625","0.2431640625","0.2431640625","0.1904296875","0.1904296875","0.1904296875"
"175","0.23828125","0.23828125","0.23828125","0.2626953125","0.2626953125","0.2626953125"
"180","0.216796875","0.216796875","0.216796875","0.1708984375","0.1708984375","0.1708984375"
"185","0.265625","0.265625","0.265625","0.2333984375","0.2333984375","0.2333984375"
"190","0.19921875","0.19921875","0.19921875","0.2353515625","0.2353515625","0.2353515625"
"195","0.232421875","0.232421875","0.232421875","0.1962890625","0.1962890625","0.1962890625"
