Name,p/s,m/s,TotalPlayouts
Havannah,1649.1631864925662,198628.2475080969,49475
Hex,7987.34932373508,858774.5353428514,239621
Connect Four,28279.439952022392,603281.5634333497,848384
Connect6,323.62143768888893,65949.67582841087,9709
Gomoku,8575.362663687376,965985.4157446746,257261
Pente,386.2488723999896,60350.41969036344,11588
Tic-Tac-Toe,131854.66927786206,1039250.1578547133,3955641
Yavalath,40888.199533874526,802363.9575197175,1226646
Yavalax,817.2543530953286,99640.53204943694,24518
Reversi,1031.67299616566,68515.53995277818,30951
